SHAP_DXY_Index,SHAP_SP500_Index,SHAP_KLCI_Index,SHAP_copper_price_t1,Trade_Date
0.026338948,0.0862584,0.013618887,0.6514127,2025-11-03
-0.034486957,0.05821263,0.0115667395,0.6153253,2025-11-04
-0.029215079,0.061878905,0.016615363,0.5353349,2025-11-05
0.0670518,0.087261274,0.011631433,0.5810502,2025-11-06
0.06197454,0.09033154,0.012337673,0.5816789,2025-11-07
0.057626862,0.09367033,0.012811555,0.53631836,2025-11-10
0.06611464,0.10665952,-0.008295357,0.6338755,2025-11-11
0.059850924,0.101932846,0.0042448347,0.6285534,2025-11-12
0.092149496,0.100135684,-0.0015260049,0.62741935,2025-11-13
0.093552716,0.10628682,0.011976872,0.64613307,2025-11-14
0.06558983,0.07087347,0.0062380056,0.6255189,2025-11-17
0.045487575,0.035465963,0.0076890164,0.64662486,2025-11-18
-0.029279644,0.049931556,0.016719585,0.6064796,2025-11-19
-0.027971368,0.012270619,0.012776077,0.62006783,2025-11-20
-0.030892897,0.030129397,0.011701225,0.6070919,2025-11-21
-0.03169903,0.039619837,0.013940751,0.6366024,2025-11-24
0.053852107,0.06029804,0.01039738,0.68349713,2025-11-25
0.059714895,0.086755015,0.011950007,0.6275794,2025-11-26
0.053200264,0.10508323,-0.0102771735,0.6765134,2025-11-28
0.066660926,0.045432817,-0.039518643,0.7490142,2025-12-01
0.06757196,0.04483541,-0.046351448,0.7499605,2025-12-02
0.100438274,0.058322296,-0.0383443,0.78290457,2025-12-03
0.09079843,0.06728443,-0.042116404,0.76878434,2025-12-04
0.08857521,0.06076751,-0.046420697,0.7660228,2025-12-05
0.09458022,0.07036718,-0.027500212,0.7739493,2025-12-08
0.11303635,0.07558813,-0.03209471,0.77058864,2025-12-09
0.101919055,0.06703252,-0.0075678676,0.79443145,2025-12-10
0.11088857,0.0563674,-0.06414186,0.78815967,2025-12-11
0.11364617,0.034372125,-0.079121515,0.77357286,2025-12-12
0.11092354,0.036112413,-0.080245115,0.7756794,2025-12-15
0.112378456,0.03524615,-0.07835685,0.77111024,2025-12-16
0.112415574,0.036839537,-0.079259254,0.7747919,2025-12-17
0.11094077,0.031716358,-0.07571924,0.77239573,2025-12-18
0.10885529,0.038904153,-0.07331553,0.7721871,2025-12-19
0.113182925,0.05540461,-0.06903233,0.78500247,2025-12-22
0.115720056,0.053987455,-0.08805419,0.7780162,2025-12-23
0.1254222,0.054451175,-0.087976694,0.76695514,2025-12-24
0.1254222,0.054451175,-0.087976694,0.76695514,2025-12-26
0.11220405,0.044067975,-0.080234505,0.93603873,2025-12-29
0.12249095,0.056208372,-0.08671432,0.77629066,2025-12-30
0.10768233,0.04608104,-0.07930282,0.92254424,2025-12-31
0.114770874,0.05618979,-0.07549931,0.8836015,2026-01-02
0.10944024,0.057198856,-0.081672885,0.8844265,2026-01-05
0.10704835,0.04451621,-0.057752628,0.94069576,2026-01-06
0.10743491,0.04639324,-0.07506243,0.9441335,2026-01-07
0.088710725,0.04962325,-0.05652097,0.92119306,2026-01-08
0.10107676,0.060465887,-0.053987343,0.90215164,2026-01-09
0.10804942,0.04815122,-0.054702304,0.9451288,2026-01-12
0.101235926,0.05886476,-0.054414805,0.9241116,2026-01-13
0.101235926,0.05886476,-0.054414805,0.9241116,2026-01-14
0.08692303,0.05503636,-0.05459041,0.91525614,2026-01-15
0.06657092,0.04788004,-0.054301683,0.9190097,2026-01-16
0.10799722,0.032699127,-0.07563732,0.9382546,2026-01-20
0.114343956,0.048933085,-0.066091225,0.9240518,2026-01-21
0.10768233,0.04608104,-0.07930282,0.92254424,2026-01-22
0.09326219,0.043208722,-0.07953291,0.918268,2026-01-23
0.10342921,0.038101286,-0.07075046,0.9494434,2026-01-26
